str_of_words,is_person,id
San Francisco,0,3
Bern,0,6
Basel,0,9
Alexandria,0,12
Toronto,0,15
Vatican City,0,18
Tashkent,0,21
Singapore,0,24
Cologne,0,27
Szczecin,0,30
Vrhnika,0,33
Milan,0,36
odz,0,39
Rzeszow,0,42
Versailles,0,45
Venice,0,48
Lille,0,51
Amsterdam,0,54
Supetar,0,57
Nowy Sacz,0,60
Abakan,0,63
Nizhny Novgorod,0,66
Kazan,0,69
Ufa,0,72
Beijing,0,75
Tomsk,0,78
Appingedam,0,81
Koper,0,84
Kranj,0,87
Karlsruhe,0,90
Salerno,0,93
Mumbai,0,96
Dortmund,0,99
Wageningen,0,102
Arnhem,0,105
Chennai,0,108
Piran,0,111
Eschwege,0,114
MIERDA,0,117
Astana,0,120
Guatemala City,0,123
Kiel,0,126
Dusseldorf,0,129
Munich,0,132
Vienna,0,135
Helsinki,0,138
Budapest,0,141
Kaliningrad,0,144
Phnom Penh,0,147
Wolin,0,150
Bologna,0,153
Juba,0,156
Khartoum,0,159
Whitehorse,0,162
Edmonton,0,165
Charlottetown,0,168
Fredericton,0,171
Cherepovets,0,174
Syzran,0,177
Skien,0,180
Porsgrunn,0,183
Mogadishu,0,186
Kostroma,0,189
Palermo,0,192
Vladimir,0,195
Urbino,0,198
Kaluga,0,201
Gottingen,0,204
San Jose,0,207
Canberra,0,210
Trier,0,213
Kursk,0,216
Managua,0,219
Trento,0,222
Perugia,0,225
Potenza,0,228
Tripoli,0,231
Tehran,0,234
Ankara,0,237
Rietavas,0,240
Calama,0,243
Dakar,0,246
Bissau,0,249
Maykop,0,252
Freetown,0,255
Yaounde,0,258
Bangui,0,261
Marburg,0,264
Lilongwe,0,267
Maputo,0,270
Maseru,0,273
Port Louis,0,276
Weimar,0,279
Bergheim,0,282
Offenburg,0,285
Eschweiler,0,288
Nordhorn,0,291
Arusha,0,294
Soltaniyeh,0,297
Barquisimeto,0,300
Perico,0,303
Palmira,0,306
Cruces,0,309
Seattle,0,312
Nadym,0,315
Grozny,0,318
Vladikavkaz,0,321
Rovinj,0,324
Orenburg,0,327
Zapresic,0,330
Cape Town,0,333
Penza,0,336
Koprivnica,0,339
Baltiysk,0,342
Gvardeysk,0,345
Ur,0,348
Thebes,0,351
Petra,0,354
Tyumen,0,357
Toledo,0,360
Alajarvi,0,363
Kauhava,0,366
Lapua,0,369
Kyzyl,0,372
Seinajoki,0,375
Coventry,0,378
Varese,0,381
Uchkuduk,0,384
Salekhard,0,387
Bolzano,0,390
Irkutsk,0,393
Yakutsk,0,396
Castellammare di Stabia,0,399
Ulan-Ude,0,402
Blagoveshchensk,0,405
Fellbach,0,408
Girona,0,411
Dalnegorsk,0,414
Eisenach,0,417
Oswiecim,0,420
Lutsk,0,423
Birobidzhan,0,426
Toulouse,0,429
Petropavlovsk-Kamchatsky,0,432
Anadyr,0,435
Neustadt in Sachsen,0,438
Stolpen,0,441
Hockenheim,0,444
Ostrava,0,447
Lagos,0,450
Bilbao,0,453
A Coruna,0,456
Valencia,0,459
Schaffhausen,0,462
Thimphu,0,465
Eberswalde,0,468
Male,0,471
Timbuktu,0,474
Erode,0,477
Ooty,0,480
Haarlem,0,483
Kampen,0,486
Zaragoza,0,489
Elche,0,492
Georgetown,0,495
Malang,0,498
Siem Reap,0,501
Locarno,0,504
Huesca,0,507
Miranda de Ebro,0,510
Nantes,0,513
Huelva,0,516
Villarreal,0,519
Houghton,0,522
Marquette,0,525
Lokeren,0,528
Aalst,0,531
Ronda,0,534
Ferrara,0,537
Rimini,0,540
Kurgan,0,543
Foggia,0,546
Sassari,0,549
Agrigento,0,552
Tartu,0,555
Oviedo,0,558
Logrono,0,561
Egilsstair,0,564
Dreieich,0,567
Suhl,0,570
Muhlhausen/Thuringen,0,573
Castello de la Plana,0,576
Cuenca,0,579
Volosovo,0,582
Vysotsk,0,585
Kingisepp,0,588
"Lyuban (town), Leningrad Oblast",0,591
Podporozhye,0,594
Sertolovo,0,597
Luga,0,600
Tikhvin,0,603
Granollers,0,606
Caceres,0,609
Cadiz,0,612
Salamanca,0,615
Suzdal,0,618
Novorossiysk,0,621
Armavir,0,624
Tolitoli,0,627
Brezice,0,630
Domzale,0,633
Grosuplje,0,636
Ilirska Bistrica,0,639
Kostanjevica na Krki,0,642
Lendava,0,645
Murska Sobota,0,648
Ptuj,0,651
Ruse,0,654
Slovenska Bistrica,0,657
Sentjur,0,660
Velenje,0,663
Kehl,0,666
Barsinghausen,0,669
Lampertheim,0,672
Eisenhuttenstadt,0,675
San Jose,0,678
Phoenix,0,681
Austin,0,684
Columbus,0,687
Constantinople,0,690
Kropotkin,0,693
Labinsk,0,696
Alice Springs,0,699
Manchester,0,702
Pervouralsk,0,705
Barysaw,0,708
Simferopol,0,711
Daegu,0,714
Viborg,0,717
Silkeborg,0,720
Hjrring,0,723
Aguas de Santa Barbara,0,726
Bath,0,729
Fort St. John,0,732
Swansea,0,735
Bristol,0,738
City of London,0,741
Provo,0,744
Podgorica,0,747
Nakskov,0,750
Vancouver,0,753
Bremen,0,756
Trenton,0,759
Newark,0,762
Jonkoping,0,765
Marjayoun,0,768
Trondheim,0,771
Troms,0,774
Jounieh,0,777
Lulea,0,780
Nitra,0,783
Sundsvall,0,786
Everman,0,789
Forest Hill,0,792
Eskilstuna,0,795
Halmstad,0,798
Zahle,0,801
Ciudad Bolivar,0,804
Vejle,0,807
Afif,0,810
Golcuk,0,813
Al Bahah,0,816
As Sulayyil,0,819
Safwa City,0,822
Al Majma'ah,0,825
Pinya,0,828
Menzel Bourguiba,0,831
Holstebro,0,834
Holbk,0,837
Alice,0,840
Reeder,0,843
Glen Ullin,0,846
Jackson,0,849
Lansing,0,852
Annapolis,0,855
Mandan,0,858
Sao Luis,0,861
Fingal,0,864
Hamadan,0,867
Saint Paul,0,870
Canterbury,0,873
Carbondale,0,876
Aswan,0,879
Bulayev,0,882
Limon,0,885
Jalna,0,888
Hurand,0,891
Jamestown,0,894
El Alto,0,897
"Shibin Al Kawm, Al Minufiyah",0,900
Jerash,0,903
Ma'an,0,906
Allen,0,909
Yevpatoria,0,912
Hospet,0,915
Gandia,0,918
Sloviansk,0,921
Nice,0,924
Fargo,0,927
Barrie,0,930
Rotterdam,0,933
Kingston,0,936
Santo Domingo,0,939
Trinidad,0,942
Tarija,0,945
Oruro,0,948
Almaty,0,951
Lviv,0,954
Apia,0,957
Calgary,0,960
Port Moresby,0,963
Cork,0,966
Rauma,0,969
Auckland,0,972
Cleveland,0,975
Besancon,0,978
Yangon,0,981
Adana,0,984
Nasiriyah,0,987
Kopong,0,990
Sochi,0,993
Burbank,0,996
Ajaccio,0,999
Springfield,0,1002
Racine,0,1005
Bursa,0,1008
Benghazi,0,1011
Honiara,0,1014
Itanagar,0,1017
Bydgoszcz,0,1020
El Agheila,0,1023
South Dumdum,0,1026
Mykolaiv,0,1029
Haifa,0,1032
Beersheba,0,1035
Shelekhov,0,1038
Geoje,0,1041
Goyang,0,1044
Gwangmyeong,0,1047
Gunsan,0,1050
Gimpo,0,1053
Namwon,0,1056
Dongducheon,0,1059
Miryang,0,1062
Sacheon,0,1065
Suncheon,0,1068
Andong,0,1071
Yangju,0,1074
Osan,0,1077
Uijeongbu,0,1080
Jeonju,0,1083
Cheongju,0,1086
Tongyeong,0,1089
Pocheon,0,1092
Buzuluk,0,1095
Sheffield,0,1098
Olympia,0,1101
Le Havre,0,1104
Fresno,0,1107
Concepcion,0,1110
Derby,0,1113
Madison,0,1116
Wrangell,0,1119
La Plata,0,1122
Rawson,0,1125
Parana,0,1128
La Rioja,0,1131
Viedma,0,1134
San Luis,0,1137
San Miguel de Tucuman,0,1140
Milosavci,0,1143
Trabzon,0,1146
Kandahar,0,1149
Mozdok,0,1152
Auerbach,0,1155
Oulu,0,1158
Orsk,0,1161
Osh,0,1164
Gaza City,0,1167
Charleston,0,1170
Salford,0,1173
Dover,0,1176
Jesus Maria,0,1179
Alta Gracia,0,1182
Manchester,0,1185
Toropets,0,1188
Sanborn,0,1191
Strumica,0,1194
Quincy,0,1197
New Bedford,0,1200
Lowell,0,1203
New Britain,0,1206
Pittsfield,0,1209
Middletown,0,1212
Warwick,0,1215
Pawtucket,0,1218
Fremont,0,1221
Winston-Salem,0,1224
Greensboro,0,1227
Corpus Christi,0,1230
Aurora,0,1233
Bakersfield,0,1236
Wichita,0,1239
Chula Vista,0,1242
Garland,0,1245
Mao-Mahon,0,1248
Garden Grove,0,1251
Mosina,0,1254
Swarzedz,0,1257
Cali,0,1260
Gniezno,0,1263
Czempin,0,1266
Charlotte Amalie,0,1269
Peoria,0,1272
Irving,0,1275
Grand Prairie,0,1278
McKinney,0,1281
Scranton,0,1284
West Jordan,0,1287
Sandy,0,1290
Layton,0,1293
Rosario,0,1296
Colon,0,1299
Grodzisk Wielkopolski,0,1302
Konin,0,1305
Koscian,0,1308
Obrzycko,0,1311
Rawicz,0,1314
Sroda Wielkopolska,0,1317
Azul,0,1320
Peabody,0,1323
Melrose,0,1326
Revere,0,1329
Watertown,0,1332
Methuen,0,1335
Marlborough,0,1338
Norwalk,0,1341
Newport,0,1344
