str_of_words,is_person,type
Canada,0,country
Japan,0,country
Norway,0,country
Ireland,0,country
Hungary,0,country
Spain,0,country
United States of America,0,country
Belgium,0,country
Luxembourg,0,country
Finland,0,country
Sweden,0,country
Denmark,0,country
Poland,0,country
Lithuania,0,country
Italy,0,country
Switzerland,0,country
Austria,0,country
Greece,0,country
Turkey,0,country
Portugal,0,country
Netherlands,0,country
Uruguay,0,country
Egypt,0,country
Mexico,0,country
Kenya,0,country
Ethiopia,0,country
Ghana,0,country
France,0,country
United Kingdom,0,country
People's Republic of China,0,country
Brazil,0,country
Russia,0,country
Germany,0,country
Belarus,0,country
Iceland,0,country
Estonia,0,country
Latvia,0,country
Ukraine,0,country
Czech Republic,0,country
Slovakia,0,country
Slovenia,0,country
Moldova,0,country
Romania,0,country
Bulgaria,0,country
Republic of Macedonia,0,country
Albania,0,country
Croatia,0,country
Bosnia and Herzegovina,0,country
Azerbaijan,0,country
Andorra,0,country
Cyprus,0,country
Georgia,0,country
Kazakhstan,0,country
Malta,0,country
Monaco,0,country
Montenegro,0,country
Vatican City,0,country
San Marino,0,country
Cuba,0,country
Belize,0,country
Barbados,0,country
Indonesia,0,country
South Africa,0,country
Algeria,0,country
Uzbekistan,0,country
Chile,0,country
Singapore,0,country
Liechtenstein,0,country
Bahrain,0,country
Armenia,0,country
Serbia,0,country
Australia,0,country
Argentina,0,country
Peru,0,country
North Korea,0,country
Cambodia,0,country
East Timor,0,country
Chad,0,country
New Zealand,0,country
India,0,country
Tuvalu,0,country
Tonga,0,country
Samoa,0,country
Solomon Islands,0,country
Vanuatu,0,country
Papua New Guinea,0,country
Palau,0,country
Nauru,0,country
Federated States of Micronesia,0,country
Marshall Islands,0,country
Kiribati,0,country
Mongolia,0,country
Fiji,0,country
Venezuela,0,country
Suriname,0,country
Paraguay,0,country
Guyana,0,country
Ecuador,0,country
Colombia,0,country
Bolivia,0,country
Kingdom of the Netherlands,0,country
Somaliland,0,country
Sahrawi Arab Democratic Republic,0,country
Palestine,0,country
Transnistria,0,country
Trinidad and Tobago,0,country
Saint Vincent and the Grenadines,0,country
Saint Lucia,0,country
Saint Kitts and Nevis,0,country
Jamaica,0,country
Grenada,0,country
Guatemala,0,country
The Bahamas,0,country
Antigua and Barbuda,0,country
Honduras,0,country
Dominica,0,country
Dominican Republic,0,country
Haiti,0,country
El Salvador,0,country
Iran,0,country
Iraq,0,country
Costa Rica,0,country
Israel,0,country
Panama,0,country
Yemen,0,country
Jordan,0,country
Nicaragua,0,country
Kyrgyzstan,0,country
Kuwait,0,country
Laos,0,country
Lebanon,0,country
Maldives,0,country
Malaysia,0,country
Myanmar,0,country
Nepal,0,country
Oman,0,country
Pakistan,0,country
Qatar,0,country
Saudi Arabia,0,country
Sri Lanka,0,country
Syria,0,country
Tajikistan,0,country
Taiwan,0,country
Thailand,0,country
Turkmenistan,0,country
United Arab Emirates,0,country
Vietnam,0,country
South Korea,0,country
Afghanistan,0,country
Bangladesh,0,country
Mali,0,country
Angola,0,country
Bhutan,0,country
Brunei,0,country
Tanzania,0,country
Philippines,0,country
Central African Republic,0,country
Togo,0,country
Tunisia,0,country
Zambia,0,country
Zimbabwe,0,country
South Sudan,0,country
Benin,0,country
Botswana,0,country
Burkina Faso,0,country
Burundi,0,country
Comoros,0,country
Republic of the Congo,0,country
Democratic Republic of the Congo,0,country
Djibouti,0,country
Equatorial Guinea,0,country
Eritrea,0,country
Gabon,0,country
Gambia,0,country
Guinea,0,country
Guinea-Bissau,0,country
Ivory Coast,0,country
Cameroon,0,country
Cape Verde,0,country
Lesotho,0,country
Liberia,0,country
Libya,0,country
Madagascar,0,country
Malawi,0,country
Mauritania,0,country
Mauritius,0,country
Morocco,0,country
Mozambique,0,country
Namibia,0,country
Niger,0,country
Nigeria,0,country
Uganda,0,country
Rwanda,0,country
Sao Tomé and Príncipe,0,country
Senegal,0,country
Seychelles,0,country
Sierra Leone,0,country
Somalia,0,country
Sudan,0,country
Swaziland,0,country
Kosovo,0,country
Western Sahara,0,country
Isle of Man,0,country
Turkish Republic of Northern Cyprus,0,country
Guernsey,0,country
