str_of_words,is_person,type
Patagonia,0,geo_regions
Münsterland,0,geo_regions
Chilean Antarctic Territory,0,geo_regions
Western New Guinea,0,geo_regions
Sauerland,0,geo_regions
West Africa,0,geo_regions
Siberia,0,geo_regions
Middle East,0,geo_regions
Volhynia,0,geo_regions
Upper Lusatia,0,geo_regions
Westphalia,0,geo_regions
Achterhook,0,geo_regions
Lesser Poland,0,geo_regions
Southeast Asia,0,geo_regions
Latin America,0,geo_regions
Pacific Northwest,0,geo_regions
Western United States,0,geo_regions
La Franja,0,geo_regions
Northern Catalonia,0,geo_regions
Four Corners,0,geo_regions
Tibet,0,geo_regions
Korea,0,geo_regions
Caucasus,0,geo_regions
Svaneti,0,geo_regions
Samegrelo,0,geo_regions
Mainland China,0,geo_regions
Langhe,0,geo_regions
Montferrat,0,geo_regions
Roero,0,geo_regions
Scandinavia,0,geo_regions
Kurpfalz,0,geo_regions
Vorderpfalz,0,geo_regions
Sickingen Heights,0,geo_regions
Palestine,0,geo_regions
Northeastern United States,0,geo_regions
Jutland,0,geo_regions
Duchy of Schleswig,0,geo_regions
Alentejo,0,geo_regions
Algarve,0,geo_regions
East Asia,0,geo_regions
Northeast Asia,0,geo_regions
Central Asia,0,geo_regions
Western Asia,0,geo_regions
North Asia,0,geo_regions
Anglo-America,0,geo_regions
North Africa,0,geo_regions
Southern Africa,0,geo_regions
East Africa,0,geo_regions
Central Africa,0,geo_regions
Southern Europe,0,geo_regions
Eastern Europe,0,geo_regions
Northern Europe,0,geo_regions
Western Europe,0,geo_regions
Central Europe,0,geo_regions
Caribbean Netherlands,0,geo_regions
Cambria,0,geo_regions
Maghreb,0,geo_regions
Theban Necropolis,0,geo_regions
Corduene,0,geo_regions
Middle America,0,geo_regions
East Frisian Peninsula,0,geo_regions
Southern Ireland,0,geo_regions
Illyria,0,geo_regions
Eastern Shore of Maryland,0,geo_regions
Lusatia,0,geo_regions
Qaidam Basin,0,geo_regions
Polynesia,0,geo_regions
