str_of_words,is_person,type
Yang di-Pertuan Agong,0,monarch
Yamtuan Besar,0,monarch
Shirvanshah,0,monarch
Sultan of Perak,0,monarch
King-Grand Duke,0,monarch
Sultan of Kelantan,0,monarch
Q4333474,0,monarch
Sultan of Yogyakarta,0,monarch
Bhava,0,monarch
Sultan of Pahang,0,monarch
Sultan of Terengganu,0,monarch
Sultan of Johor,0,monarch
Five Midianite kings,0,monarch
Sultan of Selangor,0,monarch
Sultan of Sindh,0,monarch
Emperor of Ethiopia,0,monarch
Sultan of Banjar,0,monarch
Sultan of Kedah,0,monarch
sultan of Morocco,0,monarch
Sultan of Sennar,0,monarch
Sunga emperor,0,monarch
Maharaja of Vizianagram,0,monarch
Maharaja of Mysore,0,monarch
Apilaka,0,monarch
Sultan of Ternate,0,monarch
king of Israel,0,monarch
Maharaja of Bharatpur,0,monarch
King of Burma,0,monarch
King of Ahom,0,monarch
Mwami of Rwanda,0,monarch
Mauryan emperor,0,monarch
Gupta emperor,0,monarch
Vakataka king,0,monarch
Rashtrakuta emperor,0,monarch
Sultan of Bijapur,0,monarch
Bahmani Sultan,0,monarch
Hoysala king,0,monarch
Vijayanagara monarch,0,monarch
Ahmadnagar Sultan,0,monarch
Gujarat Sultan,0,monarch
Maharaja of Bhavnagar,0,monarch
Pandya King,0,monarch
Chola king,0,monarch
Karkoṭa emperor,0,monarch
King of Mustang,0,monarch
King of Sena,0,monarch
Sultan of Bengal,0,monarch
King of Nabatea,0,monarch
Sultan of Sokoto,0,monarch
Khagan of the Rouran,0,monarch
King of Dacia,0,monarch
King of Characene,0,monarch
king of the Sasanian Empire,0,monarch
king of the Vandals,0,monarch
King of Iberia,0,monarch
Prince of Meskheti,0,monarch
Emperor of Trebizond,0,monarch
King of Abkhazia,0,monarch
King of the Medang Kingdom,0,monarch
Maharaja of Bikaner,0,monarch
Maharaja of Jodhpur,0,monarch
Maharana of Mewar,0,monarch
King of Manipur,0,monarch
Talasa,0,monarch
Sultan of Galconda,0,monarch
Sultan of Mohéli,0,monarch
King of Perlis,0,monarch
Sultan of Aceh,0,monarch
Sultan of Banten,0,monarch
Sultan of Qu'alti,0,monarch
Emir of Abu Dhabi,0,monarch
Sultan of Zanzibar,0,monarch
Sultan of Siak,0,monarch
Sultan of Pate,0,monarch
Sultan of Kilwa,0,monarch
Sultan of the Ghaznavid Empire,0,monarch
Sultan of the Seljuq Empire,0,monarch
Sultan of Rum,0,monarch
Sultan of Damascus,0,monarch
Sultan of Sulu,0,monarch
Khan of Kazan,0,monarch
Sultan of Malacca,0,monarch
Sultan of Pelalawan,0,monarch
Sultan of Hobyo,0,monarch
Abbasid caliph,0,monarch
King of Hejaz,0,monarch
Emir of Granada,0,monarch
King of Kush,0,monarch
