str_of_words,is_person,type
Fulton,0,dictionary_words
County,0,dictionary_words
Jury,0,dictionary_words
Friday,0,dictionary_words
investigation,0,dictionary_words
Atlanta's,0,dictionary_words
primary,0,dictionary_words
election,0,dictionary_words
evidence,0,dictionary_words
place,0,dictionary_words
jury,0,dictionary_words
term-end,0,dictionary_words
City,0,dictionary_words
Executive,0,dictionary_words
Committee,0,dictionary_words
over-all,0,dictionary_words
charge,0,dictionary_words
election,0,dictionary_words
praise,0,dictionary_words
City,0,dictionary_words
Atlanta,0,dictionary_words
manner,0,dictionary_words
election,0,dictionary_words
September-October,0,dictionary_words
term,0,dictionary_words
jury,0,dictionary_words
Fulton,0,dictionary_words
Court,0,dictionary_words
Judge,0,dictionary_words
Durwood,0,dictionary_words
Pye,0,dictionary_words
investigate,0,dictionary_words
hard-fought,0,dictionary_words
primary,0,dictionary_words
won,0,dictionary_words
Mayor-nominate,0,dictionary_words
Ivan,0,dictionary_words
Allen,0,dictionary_words
Jr.,0,dictionary_words
relative,0,dictionary_words
handful,0,dictionary_words
jury,0,dictionary_words
interest,0,dictionary_words
election,0,dictionary_words
number,0,dictionary_words
size,0,dictionary_words
city,0,dictionary_words
jury,0,dictionary_words
Georgia's,0,dictionary_words
registration,0,dictionary_words
election,0,dictionary_words
inadequate,0,dictionary_words
Fulton,0,dictionary_words
act,0,dictionary_words
end,0,dictionary_words
jury,0,dictionary_words
number,0,dictionary_words
Atlanta,0,dictionary_words
Fulton,0,dictionary_words
County,0,dictionary_words
purchasing,0,dictionary_words
inure,0,dictionary_words
interest,0,dictionary_words
Merger,0,dictionary_words
jury,0,dictionary_words
achieve,0,dictionary_words
efficiency,0,dictionary_words
cost,0,dictionary_words
administration,0,dictionary_words
City,0,dictionary_words
Purchasing,0,dictionary_words
Department,0,dictionary_words
jury,0,dictionary_words
clerical,0,dictionary_words
result,0,dictionary_words
city,0,dictionary_words
city,0,dictionary_words
remedy,0,dictionary_words
problem,0,dictionary_words
Implementation,0,dictionary_words
Georgia's,0,dictionary_words
automobile,0,dictionary_words
title,0,dictionary_words
law,0,dictionary_words
jury,0,dictionary_words
Legislature,0,dictionary_words
provide,0,dictionary_words
re-set,0,dictionary_words
date,0,dictionary_words
implementation,0,dictionary_words
law,0,dictionary_words
jury,0,dictionary_words
swipe,0,dictionary_words
State,0,dictionary_words
Welfare,0,dictionary_words
Department's,0,dictionary_words
child,0,dictionary_words
welfare,0,dictionary_words
foster,0,dictionary_words
Fulton,0,dictionary_words
County,0,dictionary_words
assistance,0,dictionary_words
program,0,dictionary_words
jury,0,dictionary_words
State,0,dictionary_words
Welfare,0,dictionary_words
Department,0,dictionary_words
fit,0,dictionary_words
distribute,0,dictionary_words
welfare,0,dictionary_words
state,0,dictionary_words
exception,0,dictionary_words
Fulton,0,dictionary_words
County,0,dictionary_words
none,0,dictionary_words
money,0,dictionary_words
proportionate,0,dictionary_words
distribution,0,dictionary_words
program,0,dictionary_words
feel,0,dictionary_words
future,0,dictionary_words
Fulton,0,dictionary_words
County,0,dictionary_words
receive,0,dictionary_words
portion,0,dictionary_words
Failure,0,dictionary_words
continue,0,dictionary_words
place,0,dictionary_words
disproportionate,0,dictionary_words
burden,0,dictionary_words
Fulton,0,dictionary_words
jury,0,dictionary_words
Fulton,0,dictionary_words
ordinary's,0,dictionary_words
court,0,dictionary_words
fire,0,dictionary_words
appointment,0,dictionary_words
compensation,0,dictionary_words
jury,0,dictionary_words
found,0,dictionary_words
court,0,dictionary_words
operating,0,dictionary_words
Atlanta,0,dictionary_words
Bar,0,dictionary_words
Association,0,dictionary_words
interim,0,dictionary_words
committee,0,dictionary_words
serve,0,dictionary_words
protect,0,dictionary_words
fact,0,dictionary_words
effect,0,dictionary_words
court's,0,dictionary_words
jury,0,dictionary_words
Atlanta's,0,dictionary_words
airport,0,dictionary_words
jury,0,dictionary_words
management,0,dictionary_words
charge,0,dictionary_words
Jan.,0,dictionary_words
airport,0,dictionary_words
manner,0,dictionary_words
eliminate,0,dictionary_words
jury,0,dictionary_words
elaborate,0,dictionary_words
periodic,0,dictionary_words
surveillance,0,dictionary_words
pricing,0,dictionary_words
purpose,0,dictionary_words
Ask,0,dictionary_words
jail,0,dictionary_words
jury,0,dictionary_words
Fulton,0,dictionary_words
County,0,dictionary_words
Jail,0,dictionary_words
doctor,0,dictionary_words
intern,0,dictionary_words
extern,0,dictionary_words
night,0,dictionary_words
weekend,0,dictionary_words
duty,0,dictionary_words
jail,0,dictionary_words
Fulton,0,dictionary_words
work,0,dictionary_words
city,0,dictionary_words
pass,0,dictionary_words
legislation,0,dictionary_words
permit,0,dictionary_words
