str_of_words,is_person,type
New York City,0,city
"Washington, D.C.",0,city
San Francisco,0,city
Berlin,0,city
Los Angeles,0,city
Bern,0,city
Geneva,0,city
Zurich,0,city
Basel,0,city
London,0,city
Alexandria,0,city
Alexandria,0,city
Paris,0,city
Boston,0,city
Toronto,0,city
São Paulo,0,city
Nuuk,0,city
Vatican City,0,city
Brussels,0,city
Poznań,0,city
Tashkent,0,city
Warsaw,0,city
Modena,0,city
Singapore,0,city
Quimper,0,city
Cambridge,0,city
Cologne,0,city
Skopje,0,city
Gdynia,0,city
Szczecin,0,city
Istanbul,0,city
Szczebrzeszyn,0,city
Vrhnika,0,city
Wąchock,0,city
Plovdiv,0,city
Milan,0,city
Turin,0,city
Trieste,0,city
Łódź,0,city
Villeurbanne,0,city
Katowice,0,city
Rzeszów,0,city
Dubai,0,city
Padua,0,city
Versailles,0,city
Ludwigsburg,0,city
Bergamo,0,city
Venice,0,city
Sharm el-Sheikh,0,city
Rennes,0,city
Lille,0,city
Moscow,0,city
Heilbronn,0,city
Amsterdam,0,city
Groningen,0,city
Białystok,0,city
Supetar,0,city
Zwolle,0,city
Assen,0,city
Nowy Sącz,0,city
Utrecht,0,city
Lausanne,0,city
Abakan,0,city
Novosibirsk,0,city
Yekaterinburg,0,city
Nizhny Novgorod,0,city
Samara,0,city
Omsk,0,city
Kazan,0,city
Chelyabinsk,0,city
Rostov-on-Don,0,city
Ufa,0,city
Perm,0,city
Krasnoyarsk,0,city
Beijing,0,city
Vladivostok,0,city
San Antonio,0,city
Tomsk,0,city
New Delhi,0,city
Tbilisi,0,city
Appingedam,0,city
Maribor,0,city
Celje,0,city
Koper,0,city
Aachen,0,city
Nova Gorica,0,city
Kranj,0,city
Stuttgart,0,city
Biel/Bienne,0,city
Karlsruhe,0,city
Hamburg,0,city
Ahmedabad,0,city
Salerno,0,city
Jamnagar,0,city
Busto Arsizio,0,city
Mumbai,0,city
Jerusalem,0,city
Grenoble,0,city
Dortmund,0,city
Ghent,0,city
Chicago,0,city
Wageningen,0,city
Como,0,city
Maastricht,0,city
Arnhem,0,city
Tolyatti,0,city
Kolkata,0,city
Chennai,0,city
Delhi,0,city
Dhaka,0,city
Piran,0,city
Wanfried,0,city
Genoa,0,city
Eschwege,0,city
Bordeaux,0,city
Buenos Aires,0,city
MIERDA,0,city
Nagpur,0,city
Abu Dhabi,0,city
Astana,0,city
Athens,0,city
Pune,0,city
Guatemala City,0,city
Cabadbaran,0,city
Bayugan,0,city
Kiel,0,city
Schwerin,0,city
Hanover,0,city
Düsseldorf,0,city
Balanga,0,city
Saarbrücken,0,city
Munich,0,city
Erfurt,0,city
Bregenz,0,city
Vienna,0,city
Copenhagen,0,city
Stockholm,0,city
Helsinki,0,city
Murmansk,0,city
Bratislava,0,city
Budapest,0,city
Wrocław,0,city
Kochi,0,city
Kaliningrad,0,city
Luxembourg,0,city
San Marino,0,city
Phnom Penh,0,city
Arkhangelsk,0,city
Bangkok,0,city
Wolin,0,city
Taipei,0,city
Odessa,0,city
Bologna,0,city
Petrozavodsk,0,city
Catania,0,city
Juba,0,city
Vologda,0,city
Dar es Salaam,0,city
Khartoum,0,city
Verona,0,city
Florence,0,city
Whitehorse,0,city
St. John's,0,city
Nuremberg,0,city
Edmonton,0,city
Bielefeld,0,city
Regina,0,city
Charlottetown,0,city
Victoria,0,city
Totma,0,city
Fredericton,0,city
Halifax,0,city
Syktyvkar,0,city
Cherepovets,0,city
Naryan-Mar,0,city
Pskov,0,city
Syzran,0,city
Veliky Novgorod,0,city
Kongens Lyngby,0,city
Skien,0,city
Minsk,0,city
Tver,0,city
Porsgrunn,0,city
Kristiansand,0,city
Yaroslavl,0,city
Mogadishu,0,city
Nassau,0,city
Sana'a,0,city
Kostroma,0,city
Ivanovo,0,city
Naples,0,city
Palermo,0,city
Gomel,0,city
Parma,0,city
Vladimir,0,city
Skierniewice,0,city
Ryazan,0,city
Urbino,0,city
Tula,0,city
Bryansk,0,city
Kaluga,0,city
Rostock,0,city
Ulm,0,city
Göttingen,0,city
Kathmandu,0,city
Belmopan,0,city
San José,0,city
Reutlingen,0,city
San Salvador,0,city
Canberra,0,city
Oryol,0,city
Sydney,0,city
Trier,0,city
Melbourne,0,city
Jena,0,city
Kursk,0,city
Perth,0,city
Tegucigalpa,0,city
Managua,0,city
Panama City,0,city
Belgorod,0,city
Trento,0,city
Ancona,0,city
Voronezh,0,city
Perugia,0,city
Lipetsk,0,city
Bari,0,city
Potenza,0,city
Tambov,0,city
Rabat,0,city
Tripoli,0,city
Nový Jičín,0,city
Djibouti,0,city
Tehran,0,city
Sapinuwa,0,city
Jakarta,0,city
Ankara,0,city
Asmara,0,city
Krasnodar,0,city
Rietavas,0,city
N'Djamena,0,city
Niamey,0,city
Calama,0,city
Nouakchott,0,city
Belgrade,0,city
Dakar,0,city
Banjul,0,city
Conakry,0,city
Bissau,0,city
Casablanca,0,city
Monrovia,0,city
Maykop,0,city
Accra,0,city
Damascus,0,city
Freetown,0,city
Lomé,0,city
Amman,0,city
Yaounde,0,city
Malabo,0,city
Libreville,0,city
Bangui,0,city
Brazzaville,0,city
Bujumbura,0,city
Marburg,0,city
Coquimbo,0,city
Gießen,0,city
Lilongwe,0,city
Lusaka,0,city
Manama,0,city
Maputo,0,city
Kampala,0,city
Moroni,0,city
Maseru,0,city
Harare,0,city
Astrakhan,0,city
Port Louis,0,city
São Tomé,0,city
Victoria,0,city
Weimar,0,city
Fulda,0,city
Elista,0,city
Bergheim,0,city
Liège,0,city
Osasco,0,city
Offenburg,0,city
Fujairah,0,city
Stolberg,0,city
Eschweiler,0,city
Glasgow,0,city
Baden-Baden,0,city
Nordhorn,0,city
Waiblingen,0,city
Wetzlar,0,city
Arusha,0,city
Curitiba,0,city
Khabarovsk,0,city
Soltaniyeh,0,city
Farrukhabad,0,city
Surat,0,city
Barquisimeto,0,city
Surakarta,0,city
Calimete,0,city
Perico,0,city
Unión de Reyes,0,city
Rodas,0,city
Palmira,0,city
Colón,0,city
Sagua La Grande,0,city
Cruces,0,city
Cumanayagua,0,city
Lajas,0,city
Seattle,0,city
Siliguri,0,city
Baltimore,0,city
Nadym,0,city
Adelaide,0,city
Makhachkala,0,city
Grozny,0,city
Stavropol,0,city
Magas,0,city
Vladikavkaz,0,city
Nalchik,0,city
Novo Mesto,0,city
Rovinj,0,city
Cherkessk,0,city
Saratov,0,city
Orenburg,0,city
Saransk,0,city
Kirov,0,city
Zaprešić,0,city
Izhevsk,0,city
Yoshkar-Ola,0,city
Cape Town,0,city
Durban,0,city
Cheboksary,0,city
Penza,0,city
Zelenogradsk,0,city
Ulyanovsk,0,city
Koprivnica,0,city
Sovetsk,0,city
Chernyakhovsk,0,city
Baltiysk,0,city
Gusev,0,city
Svetly,0,city
Gvardeysk,0,city
Neman,0,city
Jericho,0,city
Ur,0,city
Mary,0,city
Anuradhapura,0,city
Thebes,0,city
Bukhara,0,city
Bethlehem,0,city
Petra,0,city
Subulussalam,0,city
Mecca,0,city
Tyumen,0,city
Córdoba,0,city
Axum,0,city
Toledo,0,city
Vukovar,0,city
Huntington Beach,0,city
Alajärvi,0,city
Alavus,0,city
Kauhajoki,0,city
Kauhava,0,city
Barnaul,0,city
Kurikka,0,city
Lapua,0,city
Gorno-Altaysk,0,city
Novara,0,city
Kyzyl,0,city
Kemerovo,0,city
Portland,0,city
Seinäjoki,0,city
Ähtäri,0,city
Brescia,0,city
Coventry,0,city
St Albans,0,city
Monza,0,city
Varese,0,city
Khanty-Mansiysk,0,city
Indianapolis,0,city
Uchkuduk,0,city
Montpellier,0,city
Antalya,0,city
Salekhard,0,city
Varna,0,city
Burgas,0,city
Bolzano,0,city
Vicenza,0,city
Narbonne,0,city
Irkutsk,0,city
Rome,0,city
Rome,0,city
Yakutsk,0,city
Pokhara,0,city
Lalitpur,0,city
Castellammare di Stabia,0,city
Livorno,0,city
Hohnstein,0,city
Ulan-Ude,0,city
Lutherstadt Wittenberg,0,city
Herzogenrath,0,city
Blagoveshchensk,0,city
Gotha,0,city
Alsdorf,0,city
Fellbach,0,city
Lugano,0,city
Nordhausen,0,city
Girona,0,city
Weinheim,0,city
Rodgau,0,city
Dalnegorsk,0,city
Lehrte,0,city
Bietigheim-Bissingen,0,city
Eisenach,0,city
Halberstadt,0,city
Rottenburg am Neckar,0,city
Oświęcim,0,city
Gatchina,0,city
Sevastopol,0,city
Lutsk,0,city
Sungai Penuh,0,city
Kommunar,0,city
Birobidzhan,0,city
Sudak,0,city
