str_of_words,is_person,type
Quran,0,book_title
Natural History,0,book_title
Encyclopédie,0,book_title
Don Quixote,0,book_title
"Life, the Universe and Everything",0,book_title
Bible,0,book_title
Uncle Tom's Cabin,0,book_title
Gone with the Wind,0,book_title
English Passengers,0,book_title
The Sandman: Endless Nights,0,book_title
Metroland,0,book_title
The Story of Lucy Gault,0,book_title
Carry Me Down,0,book_title
Oxygen (Andrew Miller novel),0,book_title
Lend Me Your Ears,0,book_title
Finnegans Wake,0,book_title
Ulysses,0,book_title
Diary of Anne Frank,0,book_title
The MLA Style Manual,0,book_title
The Art of War,0,book_title
Dream of the Red Chamber,0,book_title
The Tale of Genji,0,book_title
Shahnameh,0,book_title
The Compendious Book on Calculation by Completion and Balancing,0,book_title
The Hundred and One Dalmatians,0,book_title
10 tips on how to stop killing people and start doing the dishes,0,book_title
Travels with a Donkey in the Cévennes,0,book_title
The World Factbook,0,book_title
Heart,0,book_title
The Hunger Games,0,book_title
Hansel and Gretel,0,book_title
Course in General Linguistics,0,book_title
A Prayer for Owen Meany,0,book_title
Where the Wild Things Are,0,book_title
The Decameron,0,book_title
The Book of Dust,0,book_title
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",0,book_title
Hunminjeongeum,0,book_title
On the origin of species,0,book_title
Index Librorum Prohibitorum,0,book_title
A Scientific Romance,0,book_title
Altdeutsches Namenbuch,0,book_title
Seven Pillars of Wisdom,0,book_title
Pierrette,0,book_title
Abramowitz and Stegun,0,book_title
God Is Not Great,0,book_title
Stigma of the Wind,0,book_title
The Little Prince,0,book_title
Social Outsiders in Nazi Germany,0,book_title
The Running Man,0,book_title
The Party Journalist,0,book_title
Österreichisches Biographisches Lexikon 1815–1950,0,book_title
The Casual Vacancy,0,book_title
Lehrbuch der Topologie,0,book_title
The Day of the Jackal,0,book_title
The Protocols of the Elders of Zion,0,book_title
The Old Man and the Sea,0,book_title
Dr. No,0,book_title
One Day in the Life of Ivan Denisovich,0,book_title
The Beast in the Jungle,0,book_title
The Jesus Dynasty,0,book_title
Underground: The Tokyo Gas Attack and the Japanese Psyche,0,book_title
The Bible Unearthed,0,book_title
The Dungeons of the Vatican,0,book_title
Strait Is the Gate,0,book_title
Globalization and Its Discontents,0,book_title
Mao: The Unknown Story,0,book_title
The Psychopathology of Everyday Life,0,book_title
The Village of Stepanchikovo,0,book_title
World War Z,0,book_title
A Dance with Dragons,0,book_title
The Betrothed,0,book_title
Paradise Lost,0,book_title
Ming Shilu,0,book_title
A Pocket Full of Rye,0,book_title
Systema Naturae,0,book_title
The Tower,0,book_title
Fathers and Sons,0,book_title
Windmills of the Gods,0,book_title
Ten Days that Shook the World,0,book_title
O alienista,0,book_title
The Ballad of Peckham Rye,0,book_title
Thérèse Desqueyroux,0,book_title
The Audacity of Hope,0,book_title
Moskof Cariye Hürrem,0,book_title
The New Life,0,book_title
The Colour of Magic,0,book_title
Franz Kafka: The Office Writings,0,book_title
The Adventurer,0,book_title
I Am a Cat,0,book_title
Jiyun,0,book_title
The Trial,0,book_title
The Little Red Book,0,book_title
The Night Watch,0,book_title
Sour Sweet,0,book_title
Such a Long Journey,0,book_title
The Warlock: The Secrets of the Immortal Nicholas Flamel,0,book_title
The Abyss,0,book_title
Fervor de Buenos Aires,0,book_title
Cloud Atlas,0,book_title
Mockingjay,0,book_title
The End: Hitler's Germany 1944–45,0,book_title
The Communist Manifesto,0,book_title
Diary of a Wimpy Kid: The Ugly Truth,0,book_title
Cat's Cradle,0,book_title
Miroslav Gospel,0,book_title
Guinness World Records,0,book_title
Miss Betty,0,book_title
Harry Potter and the Philosopher's Stone,0,book_title
Blue Like Jazz,0,book_title
The Butcher Boy,0,book_title
Drömfakulteten,0,book_title
The Jewish War,0,book_title
The Tenant of Wildfell Hall,0,book_title
Wujing Zongyao,0,book_title
The Oxford English Dictionary,0,book_title
The Cleric Quintet,0,book_title
The Hound of the Baskervilles,0,book_title
Charlotte's Web,0,book_title
Harry Potter and the Goblet of Fire,0,book_title
Harry Potter and the Deathly Hallows,0,book_title
Harry Potter and the Half-Blood Prince,0,book_title
Yajurveda,0,book_title
2 States: The Story of My Marriage,0,book_title
Harry Potter and the Chamber of Secrets,0,book_title
Satyarth Prakash,0,book_title
Harry Potter and the Prisoner of Azkaban,0,book_title
Mein Kampf,0,book_title
Zlata's Diary,0,book_title
Ganz unten,0,book_title
A Fine Balance,0,book_title
A People's Tragedy,0,book_title
An Anthropologist on Mars,0,book_title
To the End of the Land,0,book_title
Tin Goyenda,0,book_title
Nyaruko: Crawling with Love,0,book_title
Gomorrah,0,book_title
Eugene Onegin,0,book_title
Wer war wer in der DDR?,0,book_title
Accel World,0,book_title
Closed and open form in drama,0,book_title
From the Earth to the Moon,0,book_title
Miles to Go,0,book_title
Breaking Dawn,0,book_title
Vathek,0,book_title
Star Wars Galaxies: The Ruins of Dantooine,0,book_title
L'Homme pressé,0,book_title
Das Kapital,0,book_title
Steps to Christ,0,book_title
In Search of the Supernatural,0,book_title
Falconer,0,book_title
"Saikin, Imōto no Yōsu ga Chotto Okaishiin Da Ga.",0,book_title
The Sceptical Chymist,0,book_title
Inheritance,0,book_title
Khosrow and Shirin,0,book_title
Sophie's World,0,book_title
A Christmas Carol,0,book_title
How the Steel Was Tempered,0,book_title
War and Remembrance,0,book_title
The Winds of War,0,book_title
Politics,0,book_title
Journey to the West,0,book_title
Romance of the Three Kingdoms,0,book_title
Water Margin,0,book_title
Anabasis,0,book_title
Darkness at Noon,0,book_title
Four Ways to Forgiveness,0,book_title
Emily of New Moon,0,book_title
The Friends,0,book_title
Gramatica occitana segons los parlars lengadocians,0,book_title
"Opticks, or a Treatise of the Reflections, Refractions, Inflections and Colours of Light",0,book_title
The Hobbit,0,book_title
Sailor Suit and Machine Gun,0,book_title
A Fire Upon the Deep,0,book_title
Excession,0,book_title
Manifold: Time,0,book_title
The Incredulity of Father Brown,0,book_title
The Wisdom of Father Brown,0,book_title
Catechism of the Catholic Church,0,book_title
And Quiet Flows the Don,0,book_title
aunt,0,book_title
The Silmarillion,0,book_title
Sons and Lovers,0,book_title
Harry Potter and the Order of the Phoenix,0,book_title
Sex,0,book_title
The Kill Artist,0,book_title
The Secret Servant,0,book_title
Unua Libro,0,book_title
The Da Vinci Code,0,book_title
Space Cadet,0,book_title
Black Rain,0,book_title
Definitely Maybe,0,book_title
The Art of Computer Programming,0,book_title
"Arsène Lupin, Gentleman Burglar",0,book_title
The Scandal of Father Brown,0,book_title
The Secret of Father Brown,0,book_title
The Picture of Dorian Gray,0,book_title
Q82530,0,book_title
Snail on the Slope,0,book_title
The Atlas of Middle-earth,0,book_title
The Road to Middle-earth,0,book_title
The Letters of J. R. R. Tolkien,0,book_title
J. R. R. Tolkien Encyclopedia,0,book_title
Combat Fleets of the World,0,book_title
The Complete Guide to Middle-earth,0,book_title
Q83553,0,book_title
The Joy of Sex,0,book_title
Comentarios Reales de los Incas,0,book_title
Strange Stories from a Chinese Studio,0,book_title
The Legend of the Holy Drinker,0,book_title
We,0,book_title
The Cult of the Amateur,0,book_title
Cowboys & Aliens,0,book_title
The Annotated Hobbit,0,book_title
The Lord of the Rings Sketchbook,0,book_title
J. R. R. Tolkien: A Biography,0,book_title
The Windup Girl,0,book_title
Alice's Adventures in Wonderland,0,book_title
Q93673,0,book_title
The Grand Design,0,book_title
Parasite Eve,0,book_title
The Fountain,0,book_title
Commentarii de Bello Gallico,0,book_title
The Green Book,0,book_title
Novel with cocaine,0,book_title
Even Cowgirls Get the Blues,0,book_title
Neverwhere,0,book_title
Hitler's Table Talk,0,book_title
The Aquitaine Progression,0,book_title
Saint Peter's Fair,0,book_title
The Marching Season,0,book_title
The Rembrandt Affair,0,book_title
A Death in Vienna,0,book_title
The English Assassin,0,book_title
The Messenger,0,book_title
The Mark of the Assassin,0,book_title
Moscow Rules,0,book_title
Prince of Fire,0,book_title
The Defector,0,book_title
The Confessor,0,book_title
Salammbô,0,book_title
Ada or Ardor: A Family Chronicle,0,book_title
Brewer's Dictionary of Phrase and Fable,0,book_title
Tseno Ureno,0,book_title
Point Counter Point,0,book_title
Shakugan no Shana,0,book_title
Books of Blood,0,book_title
Being and Nothingness,0,book_title
on being and essence,0,book_title
Petit Robert,0,book_title
A Room with a View,0,book_title
N or M?,0,book_title
Porno,0,book_title
The Republic,0,book_title
Timm Thaler,0,book_title
Lolita,0,book_title
Clovis Dardentor,0,book_title
Character Strengths and Virtues,0,book_title
Regular Polytopes,0,book_title
Raccolta,0,book_title
Rush Limbaugh Is a Big Fat Idiot and Other Observations,0,book_title
The Anubis Gates,0,book_title
Thunder and Lightnings,0,book_title
Poil de carotte,0,book_title
History of the Prophets and Kings,0,book_title
Essay on the Origin of Languages,0,book_title
"Julie, or the New Heloise",0,book_title
Discourse on the Arts and Sciences,0,book_title
Reveries of a Solitary Walker,0,book_title
Golden Legend,0,book_title
Gömda,0,book_title
Q129541,0,book_title
Heart of Darkness,0,book_title
The Amber Spyglass,0,book_title
The Wonderful Wizard of Oz,0,book_title
Sweet Dreams,0,book_title
Kalevala,0,book_title
Book of Esther,0,book_title
Nehemiah,0,book_title
Leaves of Grass,0,book_title
The Lathe of Heaven,0,book_title
Howl's Moving Castle,0,book_title
A History of Western Philosophy,0,book_title
De Monarchia,0,book_title
Dying of the Light,0,book_title
"I, Claudius",0,book_title
The Sound and the Fury,0,book_title
Discourse on Inequality,0,book_title
Q135950,0,book_title
The Bang-Bang Club,0,book_title
The Dead of the Night,0,book_title
Schild's Ladder,0,book_title
"Tomorrow, When the War Began",0,book_title
Germinal,0,book_title
Reliquary,0,book_title
"England, England",0,book_title
Short View of the Immorality and Profaneness of the English Stage,0,book_title
What I Was,0,book_title
"Romeo, Juliet and Darkness",0,book_title
Dona Flor and Her Two Husbands,0,book_title
Shepherds of the Night,0,book_title
Home Is the Sailor,0,book_title
Tent of Miracles,0,book_title
Jar City,0,book_title
The Invention of Hugo Cabret,0,book_title
"Gabriela, Clove and Cinnamon",0,book_title
The Return of the Native,0,book_title
The Game: Penetrating the Secret Society of Pickup Artists,0,book_title
The Child of the Cavern,0,book_title
The Kingdom of God Is Within You,0,book_title
Unto This Last,0,book_title
On the Eve,0,book_title
The Captain's Daughter,0,book_title
Resurrection,0,book_title
Anna Karenina,0,book_title
The Stand,0,book_title
The Phantom Tollbooth,0,book_title
Frankenstein,0,book_title
The State of the Art,0,book_title
The Stress of Her Regard,0,book_title
When Things of the Spirit Come First,0,book_title
To Live,0,book_title
Q152070,0,book_title
White Fang,0,book_title
Tell No One,0,book_title
Gone for Good,0,book_title
Codex Atlanticus,0,book_title
